	environment	phylum	abundance
0	control	Proteobacteria	0.8129156890963375
1	control	Firmicutes	86.26428933410891
2	control	Actinobacteria	5.3478405971424
3	control	Bacteroidetes	7.396543869316052
4	control	Proteobacteria	1.5536979366879318
5	control	Firmicutes	80.47991660121106
6	control	Actinobacteria	3.6529482899078065
7	control	Bacteroidetes	12.219538612831817
8	cancer	Firmicutes	68.10234791077802
9	cancer	Actinobacteria	9.968867049065839
10	cancer	Bacteroidetes	16.53503330083581
11	cancer	Proteobacteria	3.6630484751102013
12	control	Proteobacteria	0.858259037779009
13	control	Actinobacteria	15.637262392105121
14	control	Firmicutes	70.40426369872682
15	control	Bacteroidetes	13.100214871389051
16	cancer	Proteobacteria	2.7678845476217955
17	cancer	Firmicutes	77.6924703100085
18	cancer	Actinobacteria	5.949038468261827
19	cancer	Bacteroidetes	11.266061295492023
20	adenoma	Proteobacteria	1.5334307761375736
21	adenoma	Firmicutes	64.57987368912158
22	adenoma	Bacteroidetes	20.528030718124235
23	adenoma	Actinobacteria	13.07332586103535
24	cancer	Proteobacteria	3.758791653050314
25	cancer	Firmicutes	78.52722973662452
26	cancer	Actinobacteria	1.9926722825594951
27	cancer	Bacteroidetes	10.93677978068533
28	control	Firmicutes	82.89341892720256
29	control	Bacteroidetes	10.523667344211814
30	control	Proteobacteria	0.407496455186302
31	control	Actinobacteria	4.359249305024736
32	control	Proteobacteria	0.5369994572940467
33	control	Firmicutes	79.33483437038575
34	control	Actinobacteria	1.7164185325812158
35	control	Bacteroidetes	18.1617860272455
36	cancer	Proteobacteria	5.499061228518258
37	cancer	Firmicutes	61.20143322987097
38	cancer	Bacteroidetes	12.554157900286397
39	cancer	Actinobacteria	19.446482230723323
40	cancer	Proteobacteria	1.0815156705935633
41	cancer	Firmicutes	43.45991796713008
42	cancer	Actinobacteria	1.7030914961627417
43	cancer	Bacteroidetes	53.6155748169584
44	control	Proteobacteria	2.64851359942704
45	control	Firmicutes	73.46197193813438
46	control	Bacteroidetes	17.860813330065554
47	control	Actinobacteria	1.2379823714556693
48	control	Proteobacteria	1.0792175770363832
49	control	Firmicutes	72.98271451707889
50	control	Actinobacteria	4.649257550804862
51	control	Bacteroidetes	20.284075627669374
52	cancer	Proteobacteria	1.5603676921718042
53	cancer	Firmicutes	84.70924236773037
54	cancer	Bacteroidetes	11.38804967239789
55	cancer	Actinobacteria	1.7104985366216001
56	control	Proteobacteria	0.8933220377300419
57	control	Firmicutes	54.16648818081492
58	control	Bacteroidetes	27.907633366775407
59	control	Actinobacteria	10.775232344025829
60	cancer	Firmicutes	71.36685963321612
61	cancer	Actinobacteria	6.510775050224399
62	cancer	Bacteroidetes	10.920483597638988
63	cancer	Proteobacteria	5.2833002843061925
64	control	Proteobacteria	0.7948804373679474
65	control	Firmicutes	72.43776991921614
66	control	Actinobacteria	1.3180122736886226
67	control	Bacteroidetes	24.221431945564646
68	cancer	Proteobacteria	3.44831013453102
69	cancer	Firmicutes	67.61781476617203
70	cancer	Bacteroidetes	19.537961475812633
71	cancer	Actinobacteria	5.074574191285425
72	control	Firmicutes	54.202242101900744
73	control	Bacteroidetes	37.12856937878096
